Code,Title1,Title,Name,Des,Tag,Pro,Time,Course,Credit
3018301,교양,예술체육,음악을통한심리학의이해,음악을 통해 감정 또는 행동 등에 미치는 영향을 탐구하는 수업.,"팀플, 중간시험, 기말시험, 발표, 보고서",이상연,"화5,6",2학점,0
655201,교양,예술체육,메가트렌드와미래디자인,"미래기술의 미래 디자인이 어떻게 변화할지에 대해 보고서 작성,발표하는 수업.","팀플, 발표",최가을,"월1,2",2학점,5
655202,교양,예술체육,메가트렌드와미래디자인,"미래기술의 미래 디자인이 어떻게 변화할지에 대해 보고서 작성,발표하는 수업.","팀플, 발표",최가을,"월3,4",2학점,5
724201,교양,예술체육,음악으로세상읽기,클래식 음악감상하며 작곡가와 작품에 에피소드들을 알아보며 발표하는 수업.,"팀플, 발표, 기말시험",이재은,"화7,8",2학점,1
724202,교양,예술체육,음악으로세상읽기,클래식 음악감상하며 작곡가와 작품에 에피소드들을 알아보며 발표하는 수업.,"팀플, 발표, 기말시험",이재은,"수7,8",2학점,1
724203,교양,예술체육,음악으로세상읽기,음악의 사회적 역할 이해하며 공연 기획 실제로 수행해 경험하는 수업.,"팀플, 발표, 기말시험",곽안나,"화3,4",2학점,5
727801,교양,예술체육,문학과미술로만나는음악,"고대부터 현대까지의  문학과 미술, 음악의 작품들을 보며 이해와 포용능력을 기르는 수업.","팀플, 발표, 공연체험",임청화,"수3,4",2학점,1.97
727802,교양,예술체육,문학과미술로만나는음악,"고대부터 현대까지의  문학과 미술, 음악의 작품들을 보며 이해와 포용능력을 기르는 수업.","팀플, 발표, 공연체험",임청화,"수5,6",2학점,1.97
727803,교양,예술체육,문학과미술로만나는음악,"고대부터 현대까지의  문학과 미술, 음악의 작품들을 보며 이해와 포용능력을 기르는 수업.","팀플, 발표, 기말시험",이재은,"수3,4",2학점,3.5
727804,교양,예술체육,문학과미술로만나는음악 ,"고대부터 현대까지의  문학과 미술, 음악의 작품들을 보며 이해와 포용능력을 기르는 수업.","팀플, 발표, 기말시험",이재은,"수5,6",2학점,3.5
729201,교양,예술체육,문화예술교육개론,문화예술교육사의 직무 수행하는 데에 필요한 기초지식과 소양 배우는 수업.,"팀플, 중간시험, 발표, 기말시험,레포트",정재미,"수5,6",2학점,2.67
729202,교양,예술체육,문화예술교육개론,문화예술교육사의 직무 수행하는 데에 필요한 기초지식과 소양 배우는 수업.,"중간시험, 팀플, 발표",강경민,"화5,6",2학점,0
729301,교양,예술체육,문화예술교육현장의 이해와 실습,문화예술교육사로 현장활동할때 필요한 지식들을 배우는 수업.,"중간시험, 현장실습, 발표, 기말시험",김종성,"수3,4",2학점,0
729302,교양,예술체육,문화예술교육현장의 이해와 실습,문화예술교육사로서 현장수행력을 키우기 위해 체험하는 수업.,"팀플, 중간시험, 현장실습, 보고서",정재미,"수7,8",2학점,3
861201,교양,예술체육,포스트모던아트읽기,모더니즘과 포스트모더니즘의 역사와 미학을 이해하며 작품감상하는수업.,"중간시험, 기말시험, 발표",노정은,"목6,7",2학점,1
861202,교양,예술체육,포스트모던아트읽기,모더니즘과 포스트모더니즘의 역사와 미학을 이해하며 작품감상하는수업.,"중간시험, 기말시험",윤진영,"수6,7",2학점,4.45
861401,교양,예술체육,영상예술의 이해,영상예술을 이해하기 위해 영상미학의 특징을 배우는 수업.,"중간시험, 기말시험, 발표, 실습",김종국,"월2,3",2학점,3.25
861402,교양,예술체육,영상예술의 이해,모더니즘과 포스트모더니즘의 역사와 미학을 이해하며 작품감상하는수업.,"중간시험, 기말시험, 발표, 실습",김종국,"목6,7",2학점,3.25
861501,교양,예술체육,현대생활과 체육,현대생활과체육을 통한 실용체육활동으로 대인관계및 사회성을 향상시키는 수업.,"중간시험,기말시험,레포트",박재서,"월5,6",2학점,4.44
861502,교양,예술체육,현대생활과 체육,현대생활과체육을 통한 실용체육활동으로 대인관계및 사회성을 향상시키는 수업.,"중간시험,기말시험,레포트",박재서,"월7,8",2학점,4.44
861503,교양,예술체육,현대생활과 체육,현대생활과체육을 통한 실용체육활동으로 대인관계및 사회성을 향상시키는 수업.,"중간시험,기말시험,레포트",박재서,"수3,4",2학점,4.44
861504,교양,예술체육,현대생활과 체육,현대생활과체육을 통한 실용체육활동으로 대인관계및 사회성을 향상시키는 수업.,"중간시험,기말시험,레포트",박재서,"수5,6",2학점,4.44
861601,교양,예술체육,색채디자인의 이해,색체디자인에 대한 기초개념부터 디자인 분야에 응용할 수 있는 기본 능력을 기르는 수업.,"중간시험, 기말시험",김민성,"목6,7",2학점,4.29
861602,교양,예술체육,색채디자인의 이해,색체디자인에 대한 기초개념부터 디자인 분야에 응용할 수 있는 기본 능력을 기르는 수업.,"중간시험, 기말시험",김민성,"목8,9",2학점,4.29
861603,교양,예술체육,색채디자인의 이해,색체디자인에 대한 기초개념부터 디자인 분야에 응용할 수 있는 기본 능력을 기르는 수업.,"과제, 중간시험,기말시험",정경영,"목3,4",2학점,3
861704,교양,예술체육,클래식음악 산책,서양 클래식 음악의 역사이해하고 작품 감상하는 수업.,"중간시험, 기말시험",곽안나,"수1,2",2학점,3.67
861701,교양,예술체육,클래식음악 산책,서양 클래식 음악의 역사이해하고 작품 감상하는 수업.,"중간시험, 기말시험",곽안나,"수3,4",2학점,3.67
861702,교양,예술체육,클래식음악 산책,서양 클래식 음악의 역사이해하고 작품 감상하는 수업.,"중간시험, 기말시험",곽안나,"수5,6",2학점,3.67
861703,교양,예술체육,클래식음악 산책,서양 클래식 음악의 역사이해하고 작품 감상하는 수업.,"중간시험, 기말시험",곽안나,"수7,8",2학점,3.67
